-------------------这是一个nodejs测试文件------------------
NAME                      | DESCRIPTION          | AUTHOR          | DATE       | VERSION  | KEYWORDS
ampersand-paginated-subco | Filter an ampersand… | =aaronmccall…   | 2017-01-05 | 3.0.0    | ampersand collection limit offset
llection                  |                      |                 |            |          |                                  
amqp-node-defs            | Static Defs for An…  | =uschen         | 2016-09-20 | 0.0.2    | AMQP AMQP 0-9-1 RabbitMQ
ams-shared                | the shared frontend… | =atifsaddique   | 2015-10-12 | 1.0.0    | ams
ancient-refs              | Multi-storage ids…   | =ivansglazunov  | 2016-11-12 | 0.0.4    | javascript database storage
andre                     | a Node.js…           | =fshost         | 2013-07-26 | 0.0.2    | node.js node ejs underscore compiler template files file-watcher watcher
angular-bootstrap-multise | Angular Bootstrap…   | =amit-my…       | 2016-12-22 | 1.1.6    | 
lect                      |                      |                 |            |          | 
angular-component-router- | Alias for…           | =jfsilva        | 2016-06-01 | 0.2.0    | 
noscope                   |                      |                 |            |          | 
angular-dynamic-number    | Highly customizable… | =krzysztofszto… | 2016-12-15 | 2.3.2    | angular directive number format comma dot number separator thousand separator decimal separator
angular-engine.js         | Using AngularJS…     | =antoine.lucas… | 2016-02-19 | 0.1.1    | Event( StackQueueEmpty $log fs $EngineQueue EngineQueue
angular-node-fs           | use nodes rfs…       | =jstacoder      | 2016-09-30 | 0.0.3    | angular node fs
angular-state-loadable    | A lazy loading…      | =henrytseng     | 2015-09-04 | 3.0.7    | StateRouter angular AngularJS state state machine fsm finite state machine asynchronous lazy loading flexible lightweight
angular-state-router      | An AngularJS…        | =henrytseng     | 2015-09-15 | 3.2.3    | StateRouter angular AngularJS state state machine fsm finite state machine asynchronous lazy loading flexible lightweight
angular-state-view        | Provides nested…     | =henrytseng     | 2015-08-31 | 3.0.9    | StateRouter angular AngularJS state state machine fsm finite state machine asynchronous nested templates view
angular2-google-place     | google place auto…   | =atifsaddique   | 2017-01-06 | 1.0.7    | 
angular2-signaturepad     | Angular2 Component…  | =lathonez…      | 2016-12-21 | 2.2.0    | signature sign finger canvas
angular2-uuid             | Angular 2 /…         | =wulfsolter     | 2016-08-21 | 1.1.0    | angular angular2 ionic uuid guid TypeScript crypto secure
animated_gif              | Javascript library…  | =sole           | 2016-10-13 | 1.0.2    | animated gif
Animated_GIF              | Javascript library…  | =sole           | 2016-10-13 | 1.0.0    | animated gif
animated-gif-detector     | Detect animated…     | =tbuchok        | 2016-06-30 | 1.2.0    | email marketing mailcharts animated gif
animated-gif-detector-pap | Detect animated…     | =papandreou     | 2016-03-23 | 1.1.6-p… | email marketing mailcharts animated gif
andreou                   |                      |                 |            |          |                                        
ansi-diff-stream          | A transform stream…  | =mafintosh      | 2016-08-12 | 1.1.1    | 
ansidiff                  | ANSI colored text…   | =trentm         | 2012-03-13 | 1.0.0    | diff ansi color colour console
antaeus                   | IPFS gateway         | =kanej          | 2016-08-17 | 0.7.2    | IPFS
antarctic-runner          | A low level…         | =chinajuanbob   | 2016-04-06 | 0.0.3    | FSM runner process management
anthonyshort-offset       | Get the x/y offset…  | =anthonyshort   | 2013-04-06 | 0.0.1    | browser DOM
any-fs                    | Abstract away any…   | =perrymitchell  | 2016-11-19 | 0.1.0    | fs filesystem node
anyfs                     | Super portable…      | =dong           | 2015-04-17 | 0.1.6    | anyfs gulpplugin fs
anyfs-dropbox-adapter     | Dropbox adapter for… | =dong           | 2015-04-17 | 0.1.1    | dropbox anyfs gulpplugin
anyfs-ftp-adapter         | FTP adapter for…     | =dong           | 2015-04-17 | 0.1.1    | anyfs ftp gulpplugin
anyfs-glob-plugin         | Glob plugin for…     | =dong           | 2015-04-14 | 0.1.0    | anyfs plugin glob
anyfs-glob-stream-plugin  | glob-stream plugin…  | =dong           | 2015-04-14 | 0.1.0    | 
anyfs-s3-adapter          | AWS S3 adapter for…  | =dong           | 2015-04-17 | 0.1.1    | aws s3 anyfs gulpplugin
anyfs-vinyl-fs-plugin     | vinyl-fs plugin for… | =dong           | 2015-04-14 | 0.1.0    | anyfs vinyl-fs gulp src dest
anyfs.abstract            |                      |                 | 2015-04-11 |          | 
anyfs.dropbox             |                      |                 | 2015-04-11 |          | 
anyfs.ftp                 |                      |                 | 2015-04-10 |          | 
anyfs.local               |                      |                 | 2015-04-02 |          | 
anyfs.memory              |                      |                 | 2015-04-10 |          | 
anymatch                  | Matches strings…     | =es128…         | 2016-12-05 | 1.3.0    | match any string file fs list glob regex regexp regular expression function
anysort                   | Sorting and…         | =es128…         | 2015-12-06 | 1.0.1    | sort array match any string file fs list glob regex regexp regular expression function
apeman-api-fs             | File system API for… | =okunishinishi  | 2016-08-20 | 1.2.7    | apeman api
apeman-proto-fs           | Prototype for…       | =okunishinishi  | 2016-07-02 | 4.0.3    | apeman proto fs
apemanfs                  | File system utils…   | =okunishinishi  | 2016-07-06 | 1.0.6    | apeman service
api-chain                 | A light and easy to… | =fshost         | 2015-06-11 | 0.0.8    | javascript api chain chainable promises deferreds Node.js PhantomJs
api-fs-cacher             | cache responses…     | =jwickens       | 2016-09-25 | 0.0.1    | api cache json
api-sync                  | Anypoint Platform…   | =juan.coen…     | 2016-08-17 | 0.0.7    | 
apiconnect-refs           | API Connect…         | =kraman         | 2016-12-19 | 1.0.0    | 
apiengine                 | 全局的命名空间为 AE… | =yfsoft         | 2016-06-04 | 3.0.0    | apiengine
apifs2swagger             | Swagger JSON…        | =mitsuruog      | 2016-10-30 | 0.1.2    | cli-app cli swagger api-first-spec
appear                    | utility to run…      | =cl-bender…     | 2015-09-28 | 1.0.1    | 
append-stream             | An alternative to…   | =kesla          | 2014-07-30 | 1.2.2    | append file
apple-news                | Node.js client for…  | =ellell…        | 2017-01-12 | 1.1.3    | 
application.mixin.automat | Application…         | =luscus         | 2015-01-13 | 0.0.2    | application.mixin.automaton state machine automation framework automata machine state fsm
on                        |                      |                 |            |          |                                                                                          
ar-drone                  | A node.js client…    | =andrewnez…     | 2016-04-08 | 0.3.3    | 
argrowlspace              | ArchivesSpace…       | =kopfschmerzen  | 2014-12-10 | 0.0.1    | 
arietta-gpio              | Arietta sysfs GPIO…  | =ajk            | 2015-03-09 | 0.1.0    | arietta acme acmesystems gpio addon
arkadium-fsm              | Implementation of…   | =arkadiumnpmus… | 2016-05-25 | 1.0.0    | fsm state machine
arkadium-sound            | Implementation of…   | =arkadiumnpmus… | 2016-05-27 | 1.0.1    | fsm state machine
array-merge-equal         | Merge second array…  | =iefserge       | 2016-01-04 | 1.0.0    | 
arrayloader               | TypedArray reading…  | =waylonflinn    | 2016-02-08 | 1.1.2    | file filesystem fs xhr browserify TypedArray
arte7dl                   | Arte Downloader      | =bafs           | 2015-05-05 | 0.1.1    | arte downloader TV
article-json-html-render  | Base for html-based… | =ellell…        | 2017-01-05 | 2.6.1    | 
article-json-selection-ut | Get, return &…       | =ellell…        | 2016-09-28 | 2.0.0    | 
ils                       |                      |                 |            |          | 
article-json-to-amp       | Render JSON…         | =ellell…        | 2016-12-07 | 1.10.1   | 
article-json-to-apple-new | Render article JSON… | =ellell…        | 2016-11-01 | 4.0.0    | 
s                         |                      |                 |            |          | 
article-json-to-fbia      | transform…           | =ellell…        | 2016-11-03 | 1.3.1    | instant articles article-json
as-cli                    | Command line tool…   | =kopfschmerzen  | 2015-11-19 | 0.0.6    | archivesspace cli
asapi                     | node js…             | =kopfschmerzen  | 2015-11-16 | 0.1.5    | archivesspace rest client
asar-fs                   | Rudimentary fs.js…   | =ckarper        | 2017-01-04 | 1.4.0    | 
asciinema-selfhost        | asciinema selfhost   | =jbenet         | 2015-08-13 | 1.0.0    | asciinema selfhost ipfs
asdfasdfasdfsadf          |                      | =andrewkoo      | 2015-08-12 | 0.1.0    | 
asdfasfsdfadsfdfa         | ,-----.,--.        … | =abdi0987       | 2015-11-11 | 1.0.0    | 
asdfdsdfsdf               | jdklakhfgjsdfhj…     | =aruts          | 2016-03-14 | 1.0.0    | asdf awesome mvc react native mv*
asdfsfdfasfdasdffffffffff |                      |                 | 2014-05-14 |          | 
sssssf                    |                      |                 |            |          | 
asdsaljdfsdlkfjsadlkfghjl |                      | =daviddias      | 2016-03-30 | 1.0.0    | 
sdkfhlds                  |                      |                 |            |          | 
asfs                      | Asyncronous file…    | =okunishinishi  | 2017-01-09 | 1.2.1    | fs async
ashtin                    | ArchivesSpace…       | =kopfschmerzen  | 2015-12-02 | 0.0.4    | archivesspace cli node4lib
asr-fsm-navigation        | Use a fsm finite…    | =tehshrike      | 2016-04-15 | 0.1.1    | fsm abstract-state-router
assemble-fs               | Assemble plugin to…  | =doowb…         | 2016-12-29 | 0.8.0    | assemble assembleplugin file fs plugin system vinyl
assert-error              | Basic assert…        | =iefserge       | 2015-06-07 | 1.0.3    | assert error
assert-fs                 | Extends node's…      | =jonschlinkert  | 2015-11-08 | 0.1.0    | assert path
assert-fs-readfile-option | Test if value is…    | =shinnn         | 2014-11-20 | 1.0.0    | fs test assert assertion option flag encoding value
assert-fs-resembles       | Assertion that…      | =rohan_orton    | 2016-03-25 | 0.1.0    | 
asset-pipe-sink-fs        | Sink for persisting… | =trygve         | 2016-11-24 | 1.0.0-a… | test
assetspack                | clever assets…       | =krasimir       | 2013-08-15 | 0.1.5    | watching watch fswatcher watchfile fs less compilation uglify javascript
astronaut-logger          | A logger for…        | =astronautjs    | 2015-12-13 | 1.0.0    | logger fs nodejs
async-await-fs            | Some confortable fs… | =bogomips       | 2017-01-14 | 0.0.3    | 
async-bfs                 | Flexible functional… | =spion          | 2013-07-01 | 0.1.9    | async graph node bfs breadth first search vertex edge function functional
async-file                | Adapts the Node.js…  | =davetemplin    | 2016-10-03 | 2.0.2    | async await typescript promise promisify file fs
async-fs                  | Asynchronous file…   | =glesperance    | 2014-03-17 | 0.0.6    | 
async-fsm                 | an abstract finite…  | =mike_b         | 2015-02-11 | 1.0.3    | 
async-function            | Expose internal…     | =eduardorfs     | 2016-09-15 | 0.1.0    | async await function native
async-fx                  | Simplifies web,…     | =davetemplin    | 2016-03-10 | 1.0.2    | async await asyncawait async/await async-await typescript fs file request web parallel
async-machine             | minimal async…       | =hugov          | 2016-11-03 | 0.2.1    | async waterfall fsm finite state machine async loop
async-props-nfs           | Co-located…          | =numminorihsf   | 2016-06-29 | 0.4.4    | react react router data
async-read-lines          | Library for…         | =alex_at_net    | 2015-05-06 | 0.1.0    | line read fs
async.eachofseries        | async…               | =kikobeats      | 2015-12-20 | 0.5.2    | async async-modularized eachofseries
asyncgraph                | very simply module…  | =enobufs…       | 2015-12-04 | 0.2.1    | 
asyncjs                   | async.js it for the… | =fjakobs        | 2015-10-27 | 0.0.10   | 
asyncplify-fs             | asyncplify wrappers… | =danylaporte    | 2015-07-22 | 0.5.3    | asyncplify fs file directory
atm-ipfs-api              | IPFS API wrapper     | =rtlong         | 2015-07-15 | 0.1.2-a… | 
atom-language-diff        | Syntax support for…  | =revin          | 2016-01-15 | 1.0.2    | 
atom-tfs                  | TFS Atom…            | =ivangabriele   | 2016-01-26 | 0.4.0    | tfs team foundation server microsoft
atomic-fs-blob-store      | blob store that…     | =olalonde       | 2016-09-21 | 5.2.1    | blob store fs file system atomic local
atomic-write              | Provides an atomic…  | =nightfly19     | 2016-11-24 | 0.1.1    | atomic write fs rename
audio-param-transform     | Apply multiple…      | =mmckegg        | 2014-08-21 | 1.0.0    | AudioParam modulate lfo transform Web Audio API offset transpose setValueCurveAtTime AudioNode
audio-voltage             | Automatable DC…      | =mmckegg        | 2014-08-31 | 1.0.0    | voltage dc vc modulate waapi audio browser gain AudioParam offset
audit-fs                  | Audit…               | =codeactual     | 2013-06-13 | 0.3.0    | filesystem files directories stat grep expectation test
aureooms-js-pfsp-wt       | permutation…         | =aureooms       | 2015-04-22 | 0.0.3    | bricks heuristic ho javascript js optimization scheduling
auth-fs                   | auth based on…       | =s-a            | 2014-03-20 | 0.0.1    | auth
autlo-stdlib              | Library containing…  | =mix1 =rainramm | 2016-11-19 | 1.0.2    | math round stdlib autlo filesystem fs walk hex hex2int hex2str int2hex crc crc32
auto-launch-gpmdp         | Launch node…         | =marshallofsou… | 2016-08-09 | 2.1.0    | login launch node-webkit boot login-items
auto-watch                | Utilities for auto…  | =openlg         | 2013-08-19 | 0.0.2    | auto-watch watch watch tree watch fs auto watch auto watch file system watch file system auto auto watch tree monitor monitor file system auto monitor monitor fs tree
autobots-names-and-abilit | Get random autobots… | =puffstream     | 2015-11-14 | 1.2.0    | random autobots
ies                       |                      |                 |            |          |                
automata                  | Automata is a…       | =hyperandroid   | 2016-06-16 | 3.0.4    | DFA state machine automata
automata.js               | A library convert…   | =hokein         | 2015-08-31 | 0.2.1    | regular automata fsm
avalanchesass_utility_off | Offset classes       | =maoberlehner   | 2016-05-04 | 3.0.0    | avalanchesass-package eyeglass-module sass
set                       |                      |                 |            |          |                                           
avfs                      | Another Virtual…     | =fldubois       | 2017-01-04 | 0.0.0    | file system fs memory virtual mock fixture
aw-migrations             | | Offset | Limit | … | =martinjavorek  | 2016-09-20 | 1.0.0    | 
awesome-automata          | A generic finite…    | =loverly        | 2015-05-07 | 0.0.6    | finite state machine states state machine automata automaton fsm lexer
aws-instance-metadata     | A utility for…       | =bradvogel…     | 2017-01-18 | 1.0.0    | aws ec2 instance metadata
axshare-downloader        | A small command…     | =ebertsch       | 2014-05-08 | 0.0.2    | axshare phantomjs cli
azure-storage-fs          | A drop-in "fs"…      | =compulim       | 2017-01-16 | 0.3.0    | azure blob cloud fs microsoft saas smb storage windows
babel                     | Turn ES6 code into…  | =amasad =hzoo…  | 2017-01-02 | 6.5.2    | harmony classes modules let const var es6 transpile transpiler 6to5 babel
babel-cli                 | Babel command line.  | =amasad =hzoo…  | 2016-12-09 | 6.18.0   | 
babel-code-frame          | Generate errors…     | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-core                | Babel compiler core. | =amasad =hzoo…  | 2016-12-09 | 6.20.0   | 6to5 babel classes const es6 harmony let modules transpile transpiler var
babel-generator           | Turns an AST into…   | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-helper-fixtures     | Helper function to…  | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-helper-remap-async- | Helper function to…  | =amasad =hzoo…  | 2016-12-09 | 6.20.3   | 
to-generator              |                      |                 |            |          | 
babel-helper-transform-fi | Transform test…      | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
xture-test-runner         |                      |                 |            |          | 
babel-plugin-syntax-trail | Compile trailing…    | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | babel-plugin
ing-function-commas       |                      |                 |            |          |             
babel-plugin-transform-es | Compile ES2015…      | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | babel-plugin
2015-block-scoping        |                      |                 |            |          |             
babel-plugin-transform-ob | Compile object rest… | =amasad =hzoo…  | 2016-12-09 | 6.20.2   | babel-plugin
ject-rest-spread          |                      |                 |            |          |             
babel-plugin-transform-re | Explode async and…   | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | generator yield coroutine rewriting transformation syntax codegen rewriting refactoring transpiler desugaring ES6
generator                 |                      |                 |            |          |                                                                                                                  
babel-polyfill            | Provides polyfills…  | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-preset-react-app    | Babel preset used…   | =fson =gaearon  | 2016-12-07 | 0.0.0    | 
babel-register            | babel require hook   | =amasad =hzoo…  | 2017-01-18 | 6.18.0   | 
babel-runtime             | babel selfContained… | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-traverse            | The Babel Traverse…  | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-types               | Babel Types is a…    | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-cli                 | Babel command line.  | =amasad =hzoo…  | 2017-01-16 | 6.18.0   | 
babel-code-frame          | Generate errors…     | =amasad =hzoo…  | 2017-01-18 | 6.20.0   | 
babel-core                | Babel compiler core. | =amasad =hzoo…  | 2017-01-03 | 6.21.0   | 6to5 babel classes const es6 harmony let modules transpile transpiler var babel-core
babel-fs                  | Implement nodejs fs… | =yanagieiichi   | 2015-07-27 | 1.0.5    | nodejs fs promise babel es6
babel-generator           | Turns an AST into…   | =amasad =hzoo…  | 2016-12-16 | 6.21.0   | 
babel-helper-bindify-deco | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
rators                    |                      |                 |            |          | 
babel-helper-builder-bina | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
ry-assignment-operator-vi |                      |                 |            |          | 
sitor                     |                      |                 |            |          | 
babel-helper-builder-cond | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
itional-assignment-operat |                      |                 |            |          | 
or-visitor                |                      |                 |            |          | 
babel-helper-builder-reac | Helper function to…  | =amasad =hzoo…  | 2016-12-18 | 6.21.1   | 
t-jsx                     |                      |                 |            |          | 
babel-helper-call-delegat | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
e                         |                      |                 |            |          | 
babel-helper-define-map   | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
babel-helper-explode-assi | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
gnable-expression         |                      |                 |            |          | 
babel-helper-explode-clas | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
s                         |                      |                 |            |          | 
babel-helper-fixtures     | Helper function to…  | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | 
babel-helper-function-nam | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
e                         |                      |                 |            |          | 
babel-helper-get-function | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
-arity                    |                      |                 |            |          | 
babel-helper-hoist-variab | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
les                       |                      |                 |            |          | 
babel-helper-optimise-cal | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
l-expression              |                      |                 |            |          | 
babel-helper-plugin-test- | **NOTE:** This is…   | =amasad =hzoo…  | 2016-11-19 | 6.18.0   | 
runner                    |                      |                 |            |          | 
babel-helper-regex        | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
babel-helper-remap-async- | Helper function to…  | =amasad =hzoo…  | 2016-12-09 | 6.20.3   | 
to-generator              |                      |                 |            |          | 
babel-helper-replace-supe | ## Usage             | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | 
rs                        |                      |                 |            |          | 
babel-helper-transform-fi | Transform test…      | =amasad =hzoo…  | 2016-12-16 | 6.21.0   | 
xture-test-runner         |                      |                 |            |          | 
babel-helpers             | Collection of…       | =amasad =hzoo…  | 2016-09-28 | 6.16.0   | 
babel-messages            | Collection of debug… | =amasad =hzoo…  | 2016-05-02 | 6.8.0    | 
babel-plugin-check-es2015 | Compile ES2015…      | =amasad =hzoo…  | 2016-05-02 | 6.8.0    | babel-plugin
-constants                |                      |                 |            |          |             
babel-plugin-external-hel | ## Installation      | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | babel-plugin
pers                      |                      |                 |            |          |             
babel-plugin-external-hel | ## Installation      | =amasad =hzoo…  | 2016-08-07 | 6.3.13   | babel-plugin
pers-2                    |                      |                 |            |          |             
babel-plugin-flow-comment | Turn flow type…      | =amasad =hzoo…  | 2015-12-14 | 6.3.19   | babel-plugin
s                         |                      |                 |            |          |             
babel-plugin-gluestick    |                      | =toddsurfs      | 2016-08-26 | 0.0.1    | 
babel-plugin-offside-js   | Babel offside…       | =shanewholloway | 2017-01-02 | 0.3.2    | babel syntax offside python indention indent
babel-plugin-static-fs    | statically…          | =mattdesl       | 2016-01-12 | 1.1.0    | fs readFileSync inline transform string stringify brfs browser bundler bundle transforms static statically utf8 string text
babel-plugin-syntax-async | Allow parsing of…    | =amasad =hzoo…  | 2016-12-27 | 6.13.0   | babel-plugin
-functions                |                      |                 |            |          |             
babel-plugin-syntax-async | Allow parsing of…    | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
-generators               |                      |                 |            |          |             
babel-plugin-syntax-class | Allow parsing of…    | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | babel-plugin
-constructor-call         |                      |                 |            |          |             
babel-plugin-syntax-class | Allow parsing of…    | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
-properties               |                      |                 |            |          |             
babel-plugin-syntax-decor | Allow parsing of…    | =amasad =hzoo…  | 2016-12-16 | 6.13.0   | babel-plugin
ators                     |                      |                 |            |          |             
babel-plugin-syntax-do-ex | Allow parsing of do… | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
pressions                 |                      |                 |            |          |             
babel-plugin-syntax-expon | Allow parsing of…    | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
entiation-operator        |                      |                 |            |          |             
babel-plugin-syntax-expor | Allow parsing of…    | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
t-extensions              |                      |                 |            |          |             
babel-plugin-syntax-flow  |                      | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | babel-plugin
babel-plugin-syntax-funct | Allow parsing of…    | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
ion-bind                  |                      |                 |            |          |             
babel-plugin-syntax-funct | Allow parsing of…    | =hzoo =jmm…     | 2016-08-04 | 6.13.0   | babel-plugin
ion-sent                  |                      |                 |            |          |             
babel-plugin-syntax-jsx   |                      | =amasad =hzoo…  | 2016-10-24 | 6.18.0   | babel-plugin
babel-plugin-syntax-objec | Allow parsing of…    | =amasad =hzoo…  | 2016-08-04 | 6.13.0   | babel-plugin
t-rest-spread             |                      |                 |            |          |             
babel-plugin-syntax-trail | Compile trailing…    | =amasad =hzoo…  | 2016-12-08 | 6.20.0   | babel-plugin
ing-function-commas       |                      |                 |            |          |             
babel-plugin-transform-as | Compile async…       | =amasad =hzoo…  | 2016-05-02 | 6.8.0    | babel-plugin
ync-functions             |                      |                 |            |          |             
babel-plugin-transform-as | Turn async…          | =amasad =hzoo…  | 2017-01-08 | 6.16.0   | babel-plugin
ync-to-generator          |                      |                 |            |          |             
